Date,Category,Amount
2026-01-01,Rent,12000
2026-01-03,Food,450
2026-01-06,Transport,300
2026-01-09,Shopping,1200
2026-01-12,Bills,1800
2026-01-15,Food,600
2026-01-18,Entertainment,500
2026-01-21,Transport,250
2026-01-24,Shopping,900
2026-01-27,Food,550
2026-02-01,Rent,12000
2026-02-03,Food,500
2026-02-06,Transport,350
2026-02-09,Shopping,1500
2026-02-12,Bills,1900
2026-02-15,Food,650
2026-02-18,Entertainment,700
2026-02-21,Transport,300
2026-02-24,Shopping,1100
2026-02-27,Food,600
2026-03-01,Rent,12000
2026-03-03,Food,550
2026-03-06,Transport,400
2026-03-09,Shopping,1600
2026-03-12,Bills,2000
2026-03-15,Food,700
2026-03-18,Entertainment,650
2026-03-21,Transport,350
2026-03-24,Shopping,1300
2026-03-27,Food,650
2026-04-01,Rent,12000
2026-04-03,Food,600
2026-04-06,Transport,450
2026-04-09,Shopping,1800
2026-04-12,Bills,2100
2026-04-15,Food,750
2026-04-18,Entertainment,800
2026-04-21,Transport,400
2026-04-24,Shopping,1400
2026-04-27,Food,700
2026-05-01,Rent,12000
2026-05-03,Food,650
2026-05-06,Transport,500
2026-05-09,Shopping,1900
2026-05-12,Bills,2200
2026-05-15,Food,800
2026-05-18,Entertainment,900
2026-05-21,Transport,450
2026-05-24,Shopping,1500
2026-05-27,Food,750
2026-06-01,Rent,12000
2026-06-03,Food,700
2026-06-06,Transport,550
2026-06-09,Shopping,2100
2026-06-12,Bills,2300
2026-06-15,Food,850
2026-06-18,Entertainment,950
2026-06-21,Transport,500
2026-06-24,Shopping,1600
2026-06-27,Food,800
